query,value
yeisonjiménez,5000
americavstijuana,5000
chivasvspachuca,2150
barcelonavsrealmadrid,1400
leonvscruzazul,1000
futbolenvivoyendirectohoy,180
paletadamepaleta,120
canasteo,100
7-3,100
realmadridhoy,90
keniaos,80
brunomars,80
4x4tro,70
micorazónestuyo,60
bts,40
