query,value
americavstijuana,5000
yeisonjiménez,3250
chivasvspachuca,2100
barcelonavsrealmadrid,1650
hytale,450
canasteo,350
realmadridhoy,200
7-3,140
micorazónestuyo,90
paletadamepaleta,90
brunomars,90
mrbeast,60
faustomurillo,60
futbol,50
