query,value
americavstijuana,5000
yeisonjiménez,4100
chivasvspachuca,2100
realmadridvsbarcelona,1550
euphoriatrailerseason3,850
realmadridhoy,250
canasteo,200
futbolenvivoyendirectohoy,170
7-3,130
paletadamepaleta,130
brunomars,100
micorazónestuyo,80
futbol,40
bts,40
