query,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
noticiasenvivo,210,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
omarcamacho,100,100,100,100,100,100,100,100,100,100,100,150,150,150,100,100,100,100,100,100,100
pachucavsamerica,100,100,100,100,100,100,100,100,100,100,4900,100,5100,100,5000,3200,100,100,100,100,100
pachucavsamericaenvivo,100,100,100,100,100,100,100,100,100,100,3550,3650,3600,3700,3500,2650,1850,100,100,100,100
paletadamepaleta,100,100,100,100,190,190,230,220,230,220,210,210,200,180,160,100,100,100,100,100,100
penitencia,100,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,160
podcast,100,100,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
realmadridhoy,100,100,100,350,100,300,350,190,180,180,100,100,100,100,100,100,100,100,100,100,100
realmadridvsbarcelona,100,100,100,100,1650,100,1650,100,100,100,100,100,100,100,100,100,100,100,100,100,100
reyesmagos,100,400,100,210,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
santafeklan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150
shinywr,100,100,100,100,900,100,100,100,1850,1800,100,100,100,100,100,100,100,100,100,100,100
spaghettilesserafim,100,100,100,170,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
supernova,100,100,100,100,100,100,100,100,100,100,100,100,100,600,950,1300,1350,1500,1550,1650,230
tigresvstoluca,100,100,100,100,100,100,100,100,100,400,100,100,100,100,100,100,100,100,100,100,100
tijuanavsamerica,100,3750,100,5100,5100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tododelv,100,100,100,100,100,100,100,100,100,100,100,100,100,100,210,100,100,100,100,100,100
todolofueleninramirez,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,350,280,230,180,170
untalfredo,1300,1050,850,160,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
vegetta777,100,100,100,100,100,100,100,100,100,150,170,180,100,100,100,100,100,100,100,100,100
venezuela,1500,1450,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
venezuelahoy,100,1550,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
venezuelahoynoticiasdeultimahora,1100,1050,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
xolosvsamerica,100,1850,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
yeisonjiménez,100,100,950,2150,2850,3350,4200,5100,5100,600,270,190,180,100,100,100,100,100,100,100,100
yolo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,100
