query,value
maduro,5000
nicolasmaduro,5000
tijuanavsamerica,3650
maduroultimasnoticiasvenezuelahoy,2000
xolosvsamerica,1750
venezuelahoy,1450
venezuela,1350
venezuelahoynoticiasdeultimahora,950
untalfredo,950
calientetvenvivo,800
diegoruzzarin,400
reyesmagos,300
losreyesmagos,250
lonche,130
latinus,110
7-3,80
noticiasdehoy,80
kenyinakamura,60
karinaymarina,50
penitencia,50
bobicraft,50
