query,value
maduro,5000
nicolasmaduro,5000
maduroultimasnoticiasvenezuelahoy,2000
venezuela,1400
untalfredo,1200
venezuelahoynoticiasdeultimahora,1000
losreyesmagos,350
noticiasdehoy,190
noticiasenvivo,110
forotvenvivo,60
