query,value
ligabazooka,2950
mexicovspanama,2450
supernova,1550
harrystyles,190
markitostoys,190
dragonballsuper,120
abraham,110
conozcosupiellarecorritantasveces,110
abrahaham,80
todolofueleninramirez,80
elabraham,70
penitencia,50
yolo,50
