query,value
mexicovspanama,2900
ligabazooka,2100
pachucavsamericaenvivo,1750
americavspachuca,1400
imsa,1250
supernova,1250
24horasdedaytona,1050
todolofueleninramirez,250
conozcosupiellarecorritantasveces,250
harrystyles,190
domenicamonterocapitulo1,180
ebriodeamor,100
abraham,70
