query,value
americavspachuca,5000
pachucavsamericaenvivo,3600
chivasvsqueretaro,1100
4x4tro,500
supernova,500
conozcosupiellarecorritantasveces,450
keniaos,300
4x4,180
ebriodeamor,120
gorillaz,90
paletadamepaleta,80
aaa,60
omarcamacho,50
canasteo,40
gusgri,40
