query,value
tijuanavsamerica,5000
yeisonjiménez,2750
chivasvspachuca,2050
realmadridvsbarcelona,1550
shinywr,800
canasteo,550
7-3,130
micorazónestuyo,100
paletadamepaleta,90
brunomars,80
mrbeast,60
futbol,50
