query,value
mexicovspanama,3100
mexicovsbolivia,2650
ligabazooka,2600
supernova,1400
domenicamonterocapitulo1,250
harrystyles,200
conozcosupiellarecorritantasveces,190
todolofueleninramirez,180
cárteldesanta,170
ebriodeamor,80
abraham,70
elabraham,50
abrahaham,50
