query,value
yeisonjiménez,5000
chivasvspachuca,2000
shinywr,1750
barcelonavsrealmadrid,1350
hytale,900
4x4tro,200
keniaos,160
paletadamepaleta,130
7-3,90
realmadridhoy,80
enhypen,80
canasteo,60
latinmafia,60
micorazónestuyo,50
bts,50
ebriodeamor,50
