query,value
tijuanavsamerica,5000
leonvscruzazul,3150
yeisonjiménez,2050
chivasvspachuca,1800
barcelonavsrealmadrid,1100
realmadridhoy,250
7-3,120
reyesmagos,110
losreyesmagos,100
micorazónestuyo,90
spaghettilesserafim,70
untalfredo,60
brunomars,60
mrbeast,60
kenyinakamura,60
podcast,50
lonche,40
abrahaham,40
