query,value
ligabazooka,2550
aczinovsmuelasdegallo,2500
mexicovspanama,1650
benficavsrealmadrid,1500
28deenerolambertoquinteroletra,900
lambertoquintero,750
harrystyles,200
markitostoys,190
supernova,130
dragonballsuper,130
abraham,90
conozcosupiellarecorritantasveces,80
abrahaham,70
todolofueleninramirez,70
jairsanchez,60
elabraham,60
penitencia,60
ebriodeamor,50
leninramírez,50
santafeklan,50
betillo,40
