query,value
shinywr,1700
chivasvsqueretaro,1200
barcelonavsrealmadrid,1050
hytale,950
yeisonjiménez,500
tigresvstoluca,300
4x4tro,300
keniaos,170
paletadamepaleta,120
realmadridhoy,80
ebriodeamor,60
latinmafia,60
bts,50
vegetta777,50
micorazónestuyo,50
7-3,50
canasteo,40
