query,value
iceshooting,5000
minneapolisshooting,5000
iceshootinginminneapolistoday,3100
goldenglobes2026,2950
reneegood,2850
bearsvspackers,2200
miamivsolemiss,1700
yeisonjimenez,1600
yeisonjiménez,1500
shinywr,1050
barcelonavsrealmadrid,1000
steelersvstexans,900
nikkiglasergoldenglobes,850
greenland,300
fettywap,250
ces2026,250
chicagobears,170
brunomars,160
diamondgym,150
stephencolbert,100
tomgrossi,100
jimmykimmel,100
iran,90
southpark,80
golden,60
