query,value
年代向前看,3500
druskichurch,2750
kaismind,2650
euphoriaseason3trailer,2600
隊長,1200
miamivsindiana,1150
deadpoolmarvelrivals,900
hytale,700
seahawksvs49ers,700
kaicenat,300
j.cole,250
druski,250
denverbroncos,250
seattleseahawks,200
marvelrivals,180
jcole,170
blueface,120
saturdaynightlive,100
enhypen,100
snl,90
marvel,70
youngboyneverbrokeagain,70
asaprocky,60
patriots,60
nbayoungboy,50
