query,value
隊長,5000
中天新聞,4250
年代向錢看,3750
黃國昌,3400
mastersoftheuniversetrailer,2650
kingsmanmarvelrivals,2450
57爆新聞,2150
darkoutlaw,1800
kingsman,1700
indianavsmiami,1650
winterstorm,1400
张又侠,1100
ryanhally'all,950
ryanhall,900
alexpretti,900
shotshow2026,750
ufc324,600
paddypimblettvsjustingaethje,600
alexhonnold,550
fable,450
maxvelocityweather,450
weather,350
australianopen2026,300
harrystyles,200
年代向前看,180
