query,value
maduro,5000
minneapolisshooting,4350
iceshootinginminneapolistoday,2200
miamivsolemiss,1650
venezuela,1250
venezuelanewstoday,950
internetgirlkatseye,130
trump,130
finesse2times,120
foxnews,50
tuckercarlson,50
