query,value
minneapolisshooting,5000
maduro,5000
iceshootinginminneapolistoday,2600
miamivsolemiss,1900
madurovenezuela,1850
nicolasmaduro,1700
elranchodedestino,1500
venezuela,1200
ces2026,1200
venezuelanewstoday,1200
steelersvsravens,1150
indianavsoregon,800
untalfredo,800
diamondgym,400
traxnyc,350
greenland,250
telemundoenvivo,200
steelers,190
trump,140
noticiastelemundodehoy,130
fettywap,100
jimmykimmel,90
breakingpoints,80
6ix9ine,80
finesse2times,80
