query,value
年代向前看,5000
隊長,3450
年代向錢看,1700
kingsmanmarvelrivals,1600
miamivsindiana,1500
billsvsbroncos,1500
darkoutlaw,950
57爆新聞,900
bearsvsrams,800
snlstrangerthings,750
seahawksvs49ers,650
denverbroncos,200
seattleseahawks,200
kaimind3,200
blueface,110
snl,110
saturdaynightlive,110
enhypen,100
weather,100
druskichurch,80
asaprocky,70
marvelrivals,60
hytale,60
pinkponyclub,40
nbayoungboy,40
