query,value
中天新聞,5000
黃國昌,4200
年代向錢看,4050
alexpretti,3750
mastersoftheuniversetrailer,2950
57爆新聞,2350
darkoutlaw,1000
alexhonnold,950
ryanhall,850
kingsmanmarvelrivals,800
ryanhally'all,800
minneapolisshooting,450
weather,350
隊長,300
ufc,180
brawadis,140
年代向前看,80
brookemonk,60
moistcritical,50
penguinz0,40
seahawks,40
