query,value
yeisonjimenez,3750
yeisonjiménez,2850
goldenglobes2026,2600
euphoriaseason3trailer,2100
kaismind,1900
shinywr,1800
年代向前看,1400
bearsvspackers,1350
nikkiglasergoldenglobes,1200
hytale,1000
deadpoolmarvelrivals,950
barcelonavsrealmadrid,850
kaicenatiquit,700
chicagobears,200
j.cole,200
kaicenat,190
druski,170
marvelrivals,130
irannews,110
tousitv,100
fettywap,100
tomgrossi,100
golden,100
realmadrid,90
iran,80
