query,value
中天新聞,5000
alexpretti,4600
黃國昌,4350
mastersoftheuniversetrailer,3000
apertureharrystyles,1500
韓國瑜,1100
ramsvsseahawks,1050
民眾黨,1050
paddypimblettvsjustingaethje,1000
invincibleseason4trailer,1000
alexhonnold,900
57爆新聞,900
川普,850
winterstorm,800
fable,650
minneapolisshooting,600
ufc324,600
年代向錢看,500
ryanhall,450
ryanhally'all,400
daredevilbornagainseason2,350
maxvelocityweather,300
weather,250
harrystyles,250
kingsman,200
