query,value
隊長,4950
中天新聞,3550
年代向錢看,3300
黃國昌,2750
kingsmanmarvelrivals,2550
mastersoftheuniversetrailer,2500
57爆新聞,1950
kingsman,1700
darkoutlaw,1700
miamivsindiana,1600
winterstorm,1300
张又侠,950
ryanhally'all,850
ryanhall,800
snlstrangerthings,750
shotshow2026,700
fable,450
maxvelocityweather,350
weather,300
harrystyles,200
年代向前看,190
seahawksvs49ers,160
saturdaynightlive,120
ufc,100
snl,100
