query,value
隊長,4000
年代向錢看,2500
kingsmanmarvelrivals,2200
mastersoftheuniversetrailer,1850
mastersoftheuniverse,1550
57爆新聞,1500
miamivsindiana,1400
中天新聞,1300
darkoutlaw,1250
年代向前看,1250
黃國昌,1000
snlstrangerthings,750
shotshow2026,750
seahawksvs49ers,600
invincibleseason4trailer,450
forzahorizon6,300
seahawks,300
seattleseahawks,200
denverbroncos,200
weather,150
kaimind3,150
saturdaynightlive,130
harrystyles,120
snl,100
blueface,80
