query,value
minneapolisshooting,5000
goldenglobes2026,3300
iceshootinginminneapolistoday,3150
bearsvspackers,2050
miamivsolemiss,1550
hytale,450
deadpoolmarvelrivals,350
fettywap,350
chicagobears,250
brunomars,180
greenland,170
iran,120
golden,70
marvelrivals,60
diamondgym,50
megynkelly,50
