query,value
마두로,5000
송도순,5000
리니지클래식,4300
베네수엘라,2950
미국베네수엘라,2350
제야의종,1950
묘정,1100
김프로,700
가요대제전,700
소향,500
sbs연기대상,500
강유미,450
신의악단,350
새해첫곡,250
현대차,200
임짱,190
만약에우리,190
lck,150
베트맨토토,100
jtbc,90
아기맹수,80
저라뎃,70
골든,70
삼성전자,60
임짱tv,60
