query,value
버스파업,2950
김동현운동많이된다,1300
맨유맨시티,1150
김동현밈,1000
한국호주,950
필랑트,850
이사랑통역되나요,800
이사랑통역되나요,600
최강록우승,600
쇼미12,550
쇼미더머니12,450
김하온,450
비비편지,400
뉴스타파,350
윤석열구형,350
쇼미,300
김민재,300
롱샷,250
그놈은드래곤,250
이란,200
이란시위,200
알디원,190
스포츠토토,190
김선호,190
피식대학,180
