query,value
마두로,5000
베네수엘라,2800
미국베네수엘라,2500
베네수엘라미국전쟁,1950
탁재훈신정환,1700
김프로,1600
묘정,550
소향,500
노빠꾸탁재훈,400
강유미,350
리니지클래식,250
트럼프,200
lck,200
신의악단,170
기래민,120
현대차,110
삼성전자주가전망,110
만약에우리,110
저라뎃,110
jtbc,100
임짱,90
삼성전자,80
박나래,80
이재명,70
골든,60
