query,value
마두로,5000
베네수엘라,3000
탁재훈신정환,2750
미국베네수엘라,2650
노빠꾸탁재훈신정환,2500
베네수엘라미국전쟁,1950
김프로,1650
윤석열재판,900
노빠꾸탁재훈,600
lck,400
소향,300
트럼프,300
에이핑크,250
강유미,250
윤석열,180
리니지클래식,130
저라뎃,110
삼성전자주가전망,100
신의악단,100
jtbc,100
만약에우리,80
삼성전자,80
이재명,70
그라운드씨,70
임짱,60
