query,value
골든디스크제니,4900
버스파업,3350
골든디스크,2800
골든디스크2026,1650
t1한화,900
필랑트,900
티원한화,550
최강록우승,550
t1hle,550
이사랑통역되나요,450
쇼미12,450
쇼미더머니12,400
스포츠토토,400
비비편지,350
윤석열구형,350
김하온,300
이사랑통역되나요,300
뉴스타파,300
이란시위,300
김민재,250
이란,250
그놈은드래곤,250
피식대학,200
알디원,180
알파드라이브원,160
