query,value
노빠꾸신정환,5000
탁재훈신정환,5000
골든디스크,4450
골든디스크2026,2650
윤석열구형,2250
김프로,1800
신정환,1600
윤석열재판,1300
노빠꾸탁재훈,1200
노빠꾸,1150
뚜밥,800
내플렉스,800
감스트기래민,750
기래민,700
안세영,500
스프링피버,450
김지영,450
다니엘라이브,400
한국우즈벡,350
탁재훈,350
윤석열,300
에이핑크,250
라인ck,250
핫이슈지,250
lck,190
