query,value
핫소스박민정,4100
한덕수,3800
최미나수,3400
한덕수선고,3150
송형주,3100
박민정결혼,3000
이해찬,2500
박민정,2450
이혜훈청문회,2200
솔로지옥5,1250
트레이비,1150
t1kt,1000
이혜훈,850
임성근음주운전,750
ㄱㄱ,700
엔드필드,700
김민지,650
솔로지옥,600
명일방주엔드필드,600
차은우,550
드래곤소드,450
언더커버미스홍,350
풍향고,250
촌장엔터테인먼트,250
핫소스,250
