query,value
야차의세계,2350
운동많이된다,2150
스트레스많이받을거야,2050
임성근음주운전,1800
맨유맨시티,1750
김동현운동많이된다,1700
김동현밈,1550
이사랑통역되나요,1300
도리코,1200
이사랑통역되나요,1100
김하온,600
쇼미12,550
최강록우승,550
필랑트,450
김선호,400
쇼미더머니12,400
롱샷,400
뉴스타파,400
쇼미,350
쇼미더머니,300
김민재,300
그놈은드래곤,250
김동현,250
윤석열구형,200
울프,200
