query,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
미국베네수엘라,2450,2550,2600,2750,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
미궁,100,100,100,100,100,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
박나래,100,180,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
박민정,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1850,2350,2550,2650,2750,2900,3000
박민정결혼,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2150,2950,3100,3100,3250,3250,3400
박민정송형주,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4050
버스파업,100,100,100,100,100,100,100,100,3400,3150,3450,3050,100,100,100,100,100,100,100,100,100,100,100
베네수엘라,3050,2850,2900,3100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
베네수엘라미국전쟁,100,100,2050,2050,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
베트맨토토,200,170,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
봉준,100,100,100,100,100,100,100,100,100,100,100,100,140,100,100,100,100,100,100,100,100,100,100
비비편지,100,100,100,100,100,100,100,100,400,400,450,500,100,100,100,100,100,100,100,100,100,100,100
삼성전자,160,180,180,180,190,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
삼성전자주가전망,100,210,210,200,190,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
새해첫곡,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
소향,600,600,600,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
솔로지옥,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,700,700,650,400,100
솔로지옥5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,650,1000,1350,1650,1350,1150,1000,350,100
송도순,5100,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
송형주,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2200,2950,3200,3300,3400,3400,3450
쇼미,100,100,100,100,100,100,100,100,100,100,100,400,100,450,550,550,100,100,100,100,100,100,100
쇼미12,100,100,100,100,100,100,100,100,100,400,550,650,600,650,750,750,100,100,100,100,100,100,100
쇼미더머니,100,100,100,100,100,100,100,100,100,290,100,100,100,400,100,100,100,100,100,100,100,100,100
쇼미더머니12,100,100,100,100,100,100,100,100,100,400,500,550,500,500,600,500,100,100,100,100,100,100,100
스트레스많이받을거야,100,100,100,100,100,100,100,100,100,100,100,100,100,2150,2550,2700,2100,550,100,100,100,100,100
스포츠토토,100,100,100,100,260,350,100,250,400,450,500,290,220,100,100,100,100,100,100,100,100,100,100
스프링피버,100,100,100,100,1200,1100,550,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
신의악단,450,400,270,200,100,100,100,100,100,100,100,100,160,100,100,100,100,100,100,100,100,100,100
신정환,100,100,100,100,100,1650,1700,1950,700,290,100,100,100,100,100,100,100,100,100,100,100,100,100
아기맹수,180,160,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
아린이즘,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,800
안성재,100,100,100,100,100,100,100,100,100,100,100,100,140,100,100,100,100,100,100,100,100,100,100
