query,value
이해찬,5000
핫소스박민정,4300
박민정송형주,3950
송형주,3350
박민정결혼,3300
박민정,2900
맨유아스날,2450
차은우세금,2150
이해찬별세,1550
김건희재판,1250
유병장수girl,1250
t1kt,1200
유병장수걸,1050
트레이비,900
초카구야공주,800
차은우,750
아린이즘,700
차은우탈세,600
적우,450
최미나수,450
이혜훈,400
김건희,400
이혜훈청문회,350
김연경,300
핫소스,250
