query,value
최미나수,3800
핫소스박민정,3800
이해찬,3800
송형주,3200
한덕수,3150
박민정결혼,3000
한덕수선고,2900
박민정,2550
차은우탈세,2000
차은우세금,1800
맨유아스날,1750
트레이비,1250
솔로지옥5,1050
t1kt,1050
ㄱㄱ,750
이혜훈청문회,700
차은우,650
엔드필드,650
이혜훈,650
솔로지옥,600
김민지,600
명일방주엔드필드,550
촌장엔터테인먼트,300
풍향고,250
김연경,250
